Unnamed: 0,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound
26,Vladislav P. Taranov,2,"I will keep it short and sweet for potential buyers looking for facts and not b.s.I own two of the 32gb size of these cards for about 3 months now. They do work fairly well with cell phones and tablets, yet not so good with cameras, in fact these cards failed to work with my GoPro Hero3 camera and the customer service rep from Gopro claimed (and I happen to agree with him) that this card is not a true class 10 card let alone UHS-1.Benchmarks with my evo 4g with all allocation sizes the write speed never passed beyond 8mb/s while read speeds wondered around 25mb/s far below advertised speeds, well write speeds arent technically advertised (probably because they are of class 4 level)Benchmarks with crystal mark reported speeds even lower (due to adapter) with write speeds around 6mb/s while read speeds wondered around 20mb/s.Needless to say, if you are not worried about speeds and only about storage, these are perfect. If you want to use them for shooting high definition raw footage however, I suggest you not to loose your money on this, because even if your write speeds are around 10mb/s as the card begins to decay it will slow down to become useless.Again this review is based on GoPro camera and high definition raw recording.. For cell phones or for storage it works perfectly well with a bit of false advertisement..",06/05/2023,361,1,37,38,-36,4.251232247078284,1.6800031700169427
27,"Claire H ""Gadget Girl""",5,My granddaughter wanted this for her phone so she could put songs on it.  She loved the card and its capacity.,05/20/2023,109,4,14,18,-10,0.9415841256702606,3.649536672495742
28,Shaun Kanak,4,"SanDisk is well known for their microsd cards. I placed one of these 64GB cards in my Galaxy Note II and love all the extra storage on my phone for video, music, work docs, etc. Haven't had any issues with the card thus far and it has been working great in my Note II.",12/06/2023,849,2,34,36,-32,3.518513763219013,0.7361025285905981
29,Elchis,3,"SanDisk chips are pretty good but relatively expensive at times.You'd think that online prices would be more affordable. It can be but you can Not tell if the seller is selling a fake product ot not.The one I received was genuine. Any of SanDisk products can be returned and exchanged for another if genuine so I've not had a problem in exchanges with the company **knocks on wood**!The 32gb version works well with Android tablets but not the 64gb versions so beware. I did read online at other forums that the 64gb version works relatively well, though, with Android phones, which is weird.Why would it work on the smartphone but not the tablet?Prices have dropped so it may have come down in prices at local retail stores so do shop around.",06/28/2023,301,41,8,49,33,0.16670265263141804,0.7824655704947003
30,Keith Yamada,4,Perfect for my Galaxy Note 2 and the price is very good. This memory card does not stall or you do not have to wait for it to load like other cards do.,08/24/2023,368,7,32,39,-25,0.5778956202694069,2.8065701016442772
31,andrew,4,I expanded my Samsung Tab 10.1 tablet from 1GB to 32GB works fast and don't see any lags. I can now store more than ten movies on my tab and play right of the flash disc with no problems.Very happy with this card.,06/16/2023,255,25,10,35,15,3.8803348023275186,1.1991165928751708
32,Tad Cuper,1,This is a really great micro SD card! I purchased one for my Samung Tablet and another one for digital video.,03/17/2023,316,9,21,30,-12,4.065015019408797,0.2466604326417382
33,"Moviefan ""PA""",2,"very happy, good product and quality, works fine does the job. i use it with my android it is fast and reliable",07/08/2023,705,33,5,38,28,2.962182260622823,4.632327199878336
34,"Bob The Reader ""Bob""",1,this microsdhc card fit perfect in my grandsons tablet. its great to be able to download extra music and games for him.,01/24/2023,71,45,36,81,9,2.9084298709194862,0.27994774307291637
35,Dao Vang,2,"Only 29.7gb of usable storage.Arrived 20th of June, no problems so far.Crystal disk mark:SEQRead 19.1, Write 9.3512KRead 19.2, Write 0.74KRead 3.5,  Write 1.2",04/06/2023,269,35,49,84,-14,3.747557141839648,3.587189433478326
36,Juan,4,"I do not know if the GS3's have issues with reading cards of this size but I eventually had to remove this card and purchase a Transcend 8GB Class 10 card just to check if it was my phone that was the problem. When I got it I opened the packet, and popped it right in. Recognized, was able to start using, taking shots and video and they immediately saved to the card without the hangup my old class 2 card used to have. After a couple of days I noticed that I would take a shot and the phone would give me an error that it could not save to the SD card. You would have to reboot to fix. When scrolling through the gallery on the SD card it would freeze and the app would crash. I moved what I could, formatted the card but the same thing kept happening.Since installing the new Transcend 8GB card I've had no such issues. Maybe its just MY phone but I think there have been enough complaints from GS3 owners to be a little skeptical about this card on their phones.",02/05/2023,846,11,20,31,-9,4.530424110443508,1.6649291134872986
37,darren,2,I use this to store music/video/pictures in my phone. Works well for that purpose. No hiccups or speed issues. Bueno.,01/02/2023,501,19,11,30,8,2.1055758543381486,4.667524825551548
38,JABthat20,3,For the one that are afraid of buying it to use with your tablet: good news. Is tiny piece of memory works fine with samsung galaxy note N8000. I had to do nothing. Just plug it. no problems at all. It runs smooth so far.,01/01/2023,209,28,6,34,22,0.5741055930367411,4.930261945867135
39,Humberto Martinez Abed,1,Received my card in a decent amount of time and it was packaged well . The memory card was crispy brand new and in perfect condition . After installing the card in my video camera it worked perfectly! Very good deal.,02/03/2023,478,13,1,14,12,4.19499692213644,1.6771532566553309
40,"Roberto K. Cho ""chorobe""",4,"works well with my hero3 black gopro.its not on the approved micro SD HC card list from gopro, but it should. works great and low cost - cant beat it.",03/19/2023,176,47,38,85,9,1.7082207298537648,2.95553409801731
41,E Wright,3,"The package arrived on time, it's very well packed and it's got an adapter. It works perfectly with my phone, though it doesn't allow a computer format, once it's been on the phone, so it asks you to erase everything before you use it on a computer. So if you're planning on buying this for different purposes and devices, gotta be aware of this. I just need for my phone, so I transfer files with my usb cable, that works just right. I also give it a 3 star because it says there are 64gb, but even when it's totally formatted it only reaches to 60gb..sooo, I don't know where my other 4 gb are...anyways, overall it's working well. I do think it's expensive for what it is.",06/10/2023,239,4,40,44,-36,0.6689288660529519,3.8649237728547585
42,Troy  N.Stennett,2,"64 GB on a micro-SD card ... that itself was amazing to me and Sandisk has perfected the technology.No complains whatsoever, works great in my S4 ... have been clicking photos and videos ever since i put this in.It comes with an adapter, so you can plug it into your computer and download content easilyIts fast, even if it is almost full - unlike other cards i have used where it starts to get slow as disk space runs out ... not on this one, its fast. period.Few other reviews said it gets hot during operation, but honestly i did not notice anything .. not even getting warm.Also note that this is an SDXC card (different from SDHC), so please check if your device is compatible with it before buying it.",07/14/2023,893,47,23,70,24,3.073082000714157,0.6170467499164267
43,"Tom ""tm1579""",2,"I bought a similar one to this a little while back for a digital camera, I think I should've gotten this one instead. I believe it's faster (I think mine was Class 4 for the same price). For the money I feel I have all the memory I'll ever need for my smart phone, same for my HD video camera.",12/06/2023,945,26,25,51,1,2.8904196260584483,3.54731151936458
44,James Robert Black,3,Fits my Galaxy SIII and gives me lots of storage :] Should be just the thing that I was looking for,12/15/2023,610,3,24,27,-21,2.3712310325119432,4.5309874220783035
45,James Schmeling,2,a fast memory card with room to spare at an amazing price. Suitable for Lots of Smart Phone Movies Fastest storage available today IMHO!,03/07/2023,859,28,19,47,9,4.298986221235794,0.8925127363601226
46,"SirNagrom ""Computer Geek""",1,What I needed - good price ! I am using this for my s3 and it works well. Takes pictures in an instant.,10/26/2023,442,2,39,41,-37,1.3611291770168394,4.193550456641749
47,"Marcio Barbosa Matielo ""mizifih""",5,Sandisk has the name but in my experience the quality and speed is not there. My lexar lasted longer and outperformed this chip.,09/14/2023,601,32,40,72,-8,0.06617632642190063,0.5780173633546848
48,rpgmaker,2,"Very fast card, works great in my GS4. I wanted something very fast but reliable and this is the ticket.",03/16/2023,764,29,41,70,-12,1.617343594711,2.8415084827113475
49,"Patrick S. Armstrong ""armstr54""",4,I have been using this in my Canon camera. it has been working well. over 6000 photos and many videos.,02/26/2023,492,35,43,78,-8,0.04852980201064394,1.6968183463989934
50,Sourz,2,My Galaxy s3 (and me) couldn't be happier- good price arrived quickly and what can I say - it does what its supposed to do!,06/06/2023,99,8,1,9,7,2.7179560544841963,2.3585793028643742
51,Lauren Glenn,4,I have always been pleased with the SanDisk products and this one is no exception. It works as advertised. I would purchase it again.,08/23/2023,329,0,41,41,-41,1.89124146429924,1.5031609230223348
52,SreWolfe,2,Very fast transfer speeds and it feels like it is very good build quality. Great price too and would recommend.,06/19/2023,326,47,34,81,13,4.06971370428543,1.3026968580673377
53,"Lynn ""LS""",2,"Got this to use with my GoPro Hero 3 black edition. Put it in, seemed to work. tried to get the data from the card after using it for a second and the card says it needs to be formatted.Looked to gopro's website and it is NOT on their recommended card list. Reason being is that the card isn't fast enough. It's a class ten yes but clearly not fast enough.Definitely get the recommended card, IF it does work at first it will probably die in a couple of days.",05/12/2023,445,22,32,54,-10,3.9879267624540877,3.7156959495386825
54,"Francis L. Moore ""Pete Moore""",4,"Awesome! So much space, and it works with my phone, all i could ask for! Comes in extremely handy. Thank you SanDisk!",04/12/2023,666,2,16,18,-14,2.1731924664933184,1.1155660738055428
55,Jaxjww,1,I bought it to my GoPro 3 Black and it worked very good with videos at 1080P...very cheap compared with the prices at Best Buy.,12/30/2023,998,31,21,52,10,1.082426367929115,2.0420652208514283
56,harmhvac,5,"it has it all, I got at great price....but speed, and reliability are the strenghts of this thing. USing it on a GN 8.0 and performs",08/07/2023,295,23,0,23,23,2.1121493297114853,1.3727853965841386
57,Eric B Beasley,5,"I bought this for my Dell Venue Pro 8 64 GB so that it would boost the Memory to 128 GB.  It is super easy to use, great shipping and I got it very quickly.",03/25/2023,442,5,36,41,-31,3.206588662718146,1.1931754205908585
58,Will,1,I purchased and use with my Surface.  It stores quickly and is easy to use.  I really like that SanDisk makes it compatible with regular SDXC and Micro.  Good product.,03/18/2023,795,12,29,41,-17,0.9510299078645368,3.1354805551036034
59,Rani,2,perfect memory card for cell phone use; great amount of storage and has really good read/write speeds. would recommend to others,08/28/2023,808,48,45,93,3,3.8652330778515145,0.22714308129011263
60,HD7alphaLIVE,5,"The memory card was exactly what I was looking for. It came on time, in fact it came early. Now I have upgraded the memory for my tablet and can download movies to take with me any time I need to.",08/12/2023,891,14,5,19,9,1.6528010521763692,3.944493685018543
61,"A. Madrid ""Fresh""",1,Install on Samsung phone and it works great.  Recommend if you need more memory on the phone and install with no problems,04/16/2023,31,29,40,69,-11,4.660884974587046,2.7311703197669406
62,Beechnut87,1,"This card seems to work well ,enough speed and so far it's working just fine ,good value for great quality ,LHB",12/14/2023,131,11,13,24,-2,2.5593526513730396,4.142186980536696
63,Francisco Anaya,5,"Do your self a favor and get some memory for that fancy new phone.I have taken countless photos & videos, downloaded several apps andloaded a bunch of music and still have room to spare.",11/07/2023,728,39,35,74,4,4.235632670648611,1.0650799169906406
64,Joe Brawn,4,Another necessity for the Go-Pro's that I feel should at least come with the Go-Pro's. At least a smaller GB to get you recording right out of the box. Too afraid to purchase an off-brand in fear of it not being compatible with the camera.,12/09/2023,527,47,32,79,15,3.0794629014830126,3.547030204202779
65,Brandon,3,its perfect and easy to use and conect fast to the camera its give you 9940 photo and 45m video with sony cam 18mp,07/29/2023,438,34,37,71,-3,2.773009218893688,2.1029192071591045
66,Elchis,4,"Excellent quality memory; good deal for the price! It functioned perfectly, good speed, and meets all my needs. I would definitely recommend for anyone using tablets. I am planning to buy another one shortly.",10/15/2023,326,27,38,65,-11,3.4106506674255614,0.3840198858285149
67,J. Cruz,2,"It just works, what more is there to say.  These days every smart phone needs as much memory space as possible.",05/28/2023,267,3,5,8,-2,4.057455618538804,3.7623819610616587
68,Crews,4,"Very fast for taking full HD videos, and for transfering to the PC. Great quality, zero problems at all. A legit product from SanDisk!",10/20/2023,286,6,25,31,-19,3.222537522048681,3.8109361769972416
69,Garens,3,I have used this with a GoPro camera and a faster flash card reduces the amount of rolling shutter.I can't say anything bad about it.,09/11/2023,291,46,23,69,23,3.9862034359585117,1.3545843294524236
70,Saminda Nirmal Fonseka,3,Works great in my compatible device BUT if you think you can reformat to FAT32 and us in an older device only designed for 32GB you will likely experience excess battery drain even if you think it is working fine to start with.,10/24/2023,368,42,32,74,10,0.952325822297565,4.580230094790586
71,S. Power,1,No complains.  I have been using this card for a few weeks and have had no problems.  I am very pleased with it.,01/20/2023,486,15,7,22,8,1.3875827018740057,3.8198489838336243
72,Bee,2,Great brand and excellent price. I purchased this for my Lenovo IdeaTab A2109 tablet. The adapter comes in handy when I need to use for a standard SD slot.,11/24/2023,555,21,43,64,-22,1.1486141079365337,1.5337868456169468
73,Luke,1,"I was using mine in a GoPro Hero 3.  The card just broke for no reason.  There is controversy weather its the GoPro or SanDisk, but after doing some Google research it seems that its more of SanDisk's fault as these SD cards also fail (or used to) in varies Samsung devices (phones / tablets).  Amazon sent me a replacement, so no harm done, but for the money you would expect something top notch.GoPro users (on the support forums) recommend getting 2x32GB SD cards, which have not had any issues as far as anyone knows.  The worst part is losing important content, I was lucky, I copied my movies from the SD card onto a HD on my PC.  Others not so lucky.",04/24/2023,957,45,42,87,3,3.9915159390728787,1.1955447120270435
74,"M. Russo ""The Guy""",4,This is a very fast microSD card compared to the class 4 speeds. It looks nice and it works. I'm not sure what else I can say other than that I have no problems with it and it hasn't died on my yet.It's been about 4 months at least now in my Samsung Galaxy S3. The S3 had a reputation for breaking sandisk sd cards for some reason and it's only randomly unmounted about 3 times but easily remounted with a take out and put back in with maybe a restart on the phone to refresh some apps to see it. I think this is just because the Galaxy S3 tends to get really hot right below the sd card which might damage it a bit. I don't think they put it in a good spot but that has nothing to do with the card itself so just get it if you want a nice sd card.,08/02/2023,168,44,33,77,11,0.4306427942853791,2.200447778569146
75,Travis,4,I have two of these and use them for my Galazy Note 2. It's great having the flexibility to keep extra storage with you for your 'phablet'.So far they have done what they are intended to do.,06/02/2023,861,40,33,73,7,3.9793159872086403,1.4639490738895566
76,Cat Cat,5,"I bought the SanDisk 32 Gb micro SD card (class 10) in Dec for a new Galaxy S3. I used it for songs and video and pics. It started acting flaky in April and would unmount itself and then remount and I had problems with playing music. Then it completely died and would not even reformat. This is a known issue, and I will write back after I try to get SanDisk to replace it.",07/28/2023,471,24,23,47,1,1.9452114990726082,1.0851152695725368
77,C. Escobar,1,"I bought 2 of these, 1 to use in a StealthCam(with the included adapter) and 1 to use in my tablet(an Acer A500).  So far the card has worked flawlessly for both applications.  I chose to use the microSD card to make it possible to copy the pictures from my trail cameras using my tablet in the woods.  Removes the need for a dedicated viewer or to tote a laptop or extra cards.",05/28/2023,938,49,1,50,48,0.39753581008697747,1.9955037861261964
78,#NAME?,1,"I use it in my Samsung Glaxy S3 to increase more GB. The device has 16 GB, now increase to 48 GB.",08/16/2023,767,2,7,9,-5,2.1221313076323116,0.12852111413174494
79,Crews,1,I bought this for my Samsung Galaxy 10.1. It works great! I have had no problems with it!I would definitely buy this again. Seller was also very fast in shipping!,07/20/2023,170,21,24,45,-3,1.5025115026692566,2.0070553534069093
80,Michael Mcnalley,1,I am using this in my Samsung galaxy smart phone and I did not find any issue. easy to access,11/04/2023,887,30,29,59,1,2.959760913913248,1.1083131410865081
81,Doug,3,"I bought this to use as expanded storage in my Asus Transformer Book T100 but it was unstable and I have had to return it. Although the tablet would see the card when it was first inserted there would be errors trying to copy files onto it and then Windows would indicate that it needed formatting. If I tried a quick format then everything seemed to be OK but the instability would return as soon as I tried to copy data to the card. If I tried a full format it always failed.I gave it two starts because it seemed to work using the supplied SD adapter in a Windows 7 laptop. I was able to do a full format on that but, when I put it back into the tablet, the problems continued. The tablet is compatible with SDXC cards and, when I tried a different micro SD card in the tablet, it worked fine so I assume it was a problem with this card.",03/25/2023,771,36,31,67,5,2.362633165469065,1.321670934879922
82,BK,5,Pros:Maximum external storage for my SGS3.Plenty of space on my phone now to store music and pictures.Fast data transfer.Cons:none.Other:Shipped super fast (think i actually got it next day) packaged well.,02/21/2023,346,21,29,50,-8,1.4838869554417506,0.41276643116103184
83,Austin,2,"I have not utilized the card as much as I had hoped I would, so I cannot comment too much on the speed, but my tablet (Asus Transformer Infinity) certainly has plenty of space on it now.",07/08/2023,78,26,6,32,20,4.311329722027578,2.9446584181781086
84,StuByph,2,Used it for my Samsung Galaxy Tab 2 10.1 tablet.  Stopped working after about 10 months without warnings.  My tablet now recognizes as blank or un-formatted card; my computers won't even recognize it at all!  I am still trying to recover some priceless photos of my kids since my last backup of the card...,11/11/2023,851,1,47,48,-46,2.0341071242278446,2.3600461378631805
85,The Lor **,2,very useful for surface pro to increase capacity from 128GB. Can also be used as backup in case something goes wrong,04/19/2023,85,21,23,44,-2,2.3534499590088935,3.7531368894488946
86,Mike Camacho,3,"I bought this memory card to use in my dash cam, and I'm very happy with how it turned out.It does what it's supposed to and that's it. No complaints.",11/06/2023,892,16,8,24,8,4.233142623762288,4.935493125896737
87,Ani,5,This is a great little card. No problems. I haven't done any benchmarking but everyday use is quick and flawless.,05/05/2023,661,47,15,62,32,0.44528304172010647,0.5976700423939457
88,rpgmaker,5,"I bought this to use with my go pro hero 3 black edition. It requires a class 10 MicroSDXC card. So far I've had no issues with it. Fast read/write, came with adapter, small packaging, but that's all it needed! Comes with a nice hard plastic case to keep both dry and together if needed.",05/29/2023,201,19,1,20,18,1.9494657088887235,1.3621254447671278
89,R. L. Frank,3,works as advertised. Using this with Q10 which supports only 32gb. So far no issues. totally happy with the purchase.,10/27/2023,589,23,34,57,-11,2.0142834326419488,3.412270640224521
90,mp,1,"It's good, I liked it, works perfectly with my Minidrive, but it's kind of slow, sometimes it doesn't reach the promised 10MB/s.",07/03/2023,361,44,33,77,11,2.479128275783417,1.1865600455072545
91,"V. Alapati ""venkata""",4,Purchased for use as add-on memory for Motorola RAZR Maxx Phone.  Works great.  Package arrived as scheduled.  All is good.,07/29/2023,762,30,21,51,9,0.5306029617970265,0.15073757758201134
92,"Blacksunshine ""X""",1,Been using it for a month and everything works fine.I have my SD card encrypted and it does take a little bit longer to transfer.It does get warm when I transfer files for more than 2 minutes but I have not had any performance issues with it.Overall 5/5,09/08/2023,565,42,18,60,24,0.5133006062477569,0.5490331197398274
93,BrianInNC,2,"work as expected. very fast. actually is installed in a HD car camera (DVR) and recording every day, every move. good product. 100% recommended.",03/06/2023,812,7,48,55,-41,2.0820797788295793,2.168134637292401
94,mike,1,"Perfect card.  I have it in my Samsung Galaxy S4 and its fast.  no delay in pictures/video writing, and I think I may get a second just to keep on hand.",08/14/2023,302,4,20,24,-16,0.1651450417336392,2.1539232606134693
95,johnnydoggs,3,"I like this SD Card because it can take music video downloads, personal videos, files,docs, and multimedia images with a fast transfer rate of Class 10 speed. It can take games with large files very easily and still have enough space for apps. It&#34;s great for video cameras and camcorders with the supplied adapter. Fits very easily into smartphones and tablets SD Card slots. I recommend this 32GB SD Card to everyone.",08/08/2023,293,1,11,12,-10,1.2749217952981757,4.861523453134456
96,"alwayseric ""alwayseric""",2,"Works flawlessly in a GoPro Hero 3 Black Edition. Great card for the price and fits plenty of footage, especially when you have 2 of them.",08/19/2023,294,3,10,13,-7,1.0058837688578182,2.3297501694888374
97,"Rick K ""Rick K""",4,wasn't sure 64 gigs would work on my Galaxy S2It does work - and i am very pleased!Does the job!,04/27/2023,109,34,18,52,16,2.446931306617874,3.3903385373424664
98,Gary A. Schmitt,2,I tried this both on Android tablets and the MS Surface.Pros:-True Class 10 read and write speeds-Works with Android phones/tablet and the new Surface tabletCons:-None so far.,03/05/2023,365,33,5,38,28,0.055797786091053014,2.4610050085667194
99,Glenn,1,Fast and reliable.  Well worth the price.  Works in my android tablet 7.0 with no problems.  Setup was no problem.,08/01/2023,600,2,41,43,-39,3.378667251319852,1.349592494564133
