Unnamed: 0,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound
33,Rhia R. Drouillard,3,"Got this to use with my GoPro, give 2 hours of recording time, once II figured out how to use the camera.",05/08/2021,76,45,23,68,22,1.434517744560511,2.171694258241459
34,Dagmar Miura,3,"Works with my Nikon D3200 camera and also my HP laptop, but for some reason my friend's laptop (Dell) would refuse to recognize it/acknowledge its existence. Not sure if it was the card, the adapter, the computer, the port, or what. Card should work fine for anything, I think.",01/23/2021,547,32,14,46,18,1.6101610298774354,1.675915646093843
35,Gatorfan66,2,Gets stuck sometimes in the adapter and is a little hard to pull out. But other than that is a great product,01/25/2021,267,9,40,49,-31,2.8139776760412563,1.6797962409775657
36,"Juan A. Almada Jr. ""Juan""",3,Plug and play!  Stuck it in my phone and within seconds it was ready to go!  Great way to add extra memory for those of us who can use them in our phones!,11/11/2021,317,30,41,71,-11,1.3924122802139456,2.712766218883057
37,TerryN,1,This was what I needed for extra space and to store more music.  This works great on my Samsung S4,09/09/2021,812,14,22,36,-8,0.47824299778003343,0.959820045615763
38,Brad Brooks,4,"I Finally took the plunge and got this guy. I was worried it wouldn't work with my Samsung Galaxy Tab 2 10.1.  After reading some of the reviews how people 'got it working', I finally decided to give it a try.First of all, I want to say there was no 'getting it to work'.  I put it in and it recognized it immediately.  I didn't have to pre-format it or do anything hokey with it.  I used the tablet to format it anyways (there might be some optimization things that can happen), but it work!  Now, I can load all my songs and movies onto one card as opposed to keeping them on two and swapping between them.Hey Samsung, why don't you make a tablet that holds more than one microSD card?  I'd buy it.*********** Update **************I bought another one to go in my Galaxy S5 for $40.  Even though the 128GB will work in the phone, I couldn't see paying literally 3x more for only twice the memory.  So these work great!",05/02/2021,121,6,3,9,3,0.8242837047327506,2.6869771261668234
39,Claudia Barclay,4,Have always had good experiences with SanDisk products.  This was priced well.  I have installed it in my wife's cell phone and it was immediately  recognized.  Not quite sure about the features this chip is supposed to have but for the amount of memory it was a good deal - extra features or not.,09/02/2021,836,35,37,72,-2,0.869739008020966,1.3948271859915047
40,Frank Mellott,5,Purchased this for a fellow employee.  Product came quickly and packaged in original package.  The employee using it is happy.,04/20/2021,25,13,3,16,10,4.2134747211138075,1.444914521208998
41,"MrRight ""MRW""",1,I am loving it so far.My Samsung Tab loves it too. :DIt seems to be going pretty smoothly.,01/15/2021,432,47,4,51,43,1.4215984348914574,3.693740145178114
42,Alex X,3,"It's a 32Gb micro card, it works well and haven't had any issues with it. Would recommend if you are considering.",02/05/2021,160,13,40,53,-27,3.5734586695737844,0.14796801779967894
43,L. Khalilova,4,"awesome large SD card for all mobile devices, enough room for all my music and even a few movies, buy it!!!",01/08/2021,596,2,43,45,-41,2.839193731696529,1.9047288133690354
44,The Brady Report,1,I used this to record continuously and it worked great. I have read to not try to update with a card bigger than 32gb in the camera so I always revert back to a smaller card before connecting for updates.,02/16/2021,114,48,22,70,26,4.88519376808221,2.0376719007682254
45,Sergio Augusto,4,"I bought this for my gopro Hero 3, it works good it stores about 4 hours of high resolution 1440. The best to go.",10/21/2021,735,45,39,84,6,1.3641133444010112,2.4255506985908637
46,cecil john,3,The SD card adapter came in handy and we were able to use the card in my father-in-law's Nikon D3200.,11/08/2021,900,49,36,85,13,0.7918651026460011,3.3450551236476933
47,Chris Wisnoski,4,"I've now bought 5 of these cards I like them so well.  I take a lot of pictures in RAW, often times filling one of the 64GB cards up in a day or less.  They are fast and very handy due to the small size.",09/28/2021,502,2,10,12,-8,0.2601891884728019,1.8484339136854326
48,Luke W,5,Bought this for my new Samsung Galaxy S4.  It worked right away with no troubles.  Only time will tell. :),08/10/2021,166,21,10,31,11,1.2047983114064027,1.0656855215322754
49,2Cents!,5,"I was very excited to add this memory card to my G2 and finally not have to worry about used up memory anymore. This was short lived however as maybe a few months had passed when the memory card refused to write anymore data. I tried formatting it (never could wipe it), using it in a thumb drive reader kwpould not delete data), all to no avail. Luckily the data I had on it was still salvageable.",12/02/2021,703,18,12,30,6,3.420354432076963,4.424364202731543
50,"Ernesto TOHME Hernandez ""ethom""",4,"Perfect card, all you need to keep all the action in this 64gb. I acquired this card for a GoPro camera and fits perfectly, its all you need to capture all the action when you need it.",10/26/2021,175,34,13,47,21,0.42629112318430307,4.905193133406059
51,ispeedca,1,"I use it in my Sansa Clip Zip 8GB MP3 player and now I have 40GB for music.The included adapter allows me to remove the card from my player and add and subtract music using a standard card reader on my computer without having to plug in my MP3 player.When I'm done I slip the micro card back into the player, let the MP3 player refresh itself, and I'm good to go.This card is a class 10 unit so it's also good for expansion ports on Video cameras as well.-v-",09/21/2021,1,11,7,18,4,1.2235092257482927,0.10007346586466404
52,James E. Gaul,1,I use this memory card with my GoPro Hero 3 Silver Camera. I have had no issues recording 1080p video with this memory card. It provides sufficient write speeds. I bought the 16gb version. I wish I would have bought the 32gb version as 1080p videos become large files quite fast.,03/11/2021,899,4,24,28,-20,4.27654184092006,2.7323342550034897
53,"Denny Crane, Esq.",1,I have always been satisfied with sandisk products this memory card did not disappoint with it's fast reading and writing ability Sandisk has done it again.,11/02/2021,741,9,17,26,-8,2.914764746822601,1.708511895545991
54,Austin,4,"Never had a failure with SanDisk like other mfgrs.  I use this in my smartphone, comes with an SDHC adapter.  When smartphone makers stop including a micro-sd slot, I'll simply use this in my camera or laptop.",06/04/2021,86,40,43,83,-3,0.3476077012659773,1.3849478769360464
55,"Denis Abrantes ""Denisd""",1,perfect price for the 16gb and class 10. I used these in my raspberry PI's they seem to be very fast access and not bogged down.,08/21/2021,574,32,43,75,-11,0.23841572124881638,1.6785319543496775
56,"Gary A. Creighton ""Gary A. Creighton""",3,"The moment I got this, I just plugged it into my SGS3 cellphone. I transferred some videos from my cellphone memory directly to the SanDisk Ultra, and it copied real fast. I plan to replace this soon with a higher capacity 32GB variant. Highly recommended brand.",09/25/2021,320,12,17,29,-5,0.3056143766288344,3.194388782131003
57,Rani,5,No brainer. This is not the regular 32 micro sd its the HIGH CAPACITY ULTRA...just go price this baby anywhere else and you'll see that AMAZON is the only place you should even think about buying this little powerhouse from. No brainer.,05/23/2021,401,34,9,43,25,4.709375250736263,0.9535800511489745
58,DrBill,3,I got this for my Galaxy S 2 phone and it worked right away. I had an issue with the write times slowing down after a month so I issued an exchange. It came promptly and my new SD card works great.,08/13/2021,382,31,6,37,25,4.249357142805273,4.564303558289751
59,Lisa Kennedy,1,Great for adding a ton of storage to your smartphone or other device.  Fast enough for most needs and the price is right.,04/05/2021,718,10,49,59,-39,4.224700210093873,2.3305726246973792
60,Ali M. Faraj,3,"have had no problems with it, access times are actually a bit slower then in phone memory. but read is pretty good.",12/26/2021,617,47,43,90,4,4.621083811217729,1.627884165746642
61,"Kate Winters ""Sincerely, Kate""",1,I bought this for use in my Blackberry Z10. It works great for me as I hold all of my music from iTunes and my most precious pictures of my wife and kids.No problems whatsoever with my Z10,01/20/2021,318,37,13,50,24,2.5262769512545513,3.827656657737995
62,S. Chari,4,"Love this chip,... bought this for my Samsung S4, it works well and fast.... No issues with it, so I bought one for my mom....",09/03/2021,803,23,14,37,9,1.23672335571672,0.0817333261809633
63,Hudson,3,"Exactly what you're hoping for in a micro-SD card. Tons of space and super fast. And YES--local storage is absolutely necessary for media storage! Tunes, videos, even pictures....back them up on the cloud, but keep a copy/copies local!",11/03/2021,250,34,15,49,19,2.0067400211925905,2.1592643286901843
64,jmachado,4,"I really like these SanDisk Ultra microSDHC Class 10 cards.  I have several and when I see huge price drops I pick them up for phones, cameras, GPS' as well as tablets, on which I store video files for traveling.  I've never had a problem with a SanDisk.",12/19/2021,525,18,1,19,17,3.5943203644190542,1.7765180050061495
65,Dzilizi,4,This is good item it works well on my Phone and I intend to buy more later. So I highly recommend this type.,09/10/2021,675,5,29,34,-24,4.380164357606326,1.6910495499486722
66,Bryan Minos,2,Working flawlessly as it is supposed to.  I like the speed of the product.  The adapter case is also nice to have.,07/23/2021,555,39,29,68,10,2.1754546334976217,1.685356810452916
67,Robert B. Schmaling,1,"What else can I say? That it is light and small? Not the fastest card on the market, but does the job. Copying files onto it is slow, but it is fast enough to play music or movies from it on your cellphone or other devices.",10/15/2021,898,44,17,61,27,2.6769047769103063,0.15635688873633702
68,Martin Martinez,5,Replaced another brand Class 10 32 GB micro SD card for my phone.  I didn't know how bad I had it before I put this in and started transferring files.  It was so much faster than my previous one. I am pleased.No issues with delivery or description.,12/19/2021,952,43,30,73,13,4.658914966381266,0.7605820150441989
69,C.P.B.,1,This worked in a Sansa clip zip when another generic brand didn't.  No complaints other than a couple CBS higher price.,02/17/2021,623,41,43,84,-2,0.5374931855471454,0.709425796562072
70,Chris Stephens,5,"Bought a Windows Surface with 8 Pro. It has a 128GB SSD which is pretty good, but adding the card gives me 64GB of storage and backup that is nearly as fast as the SSD.",01/08/2021,717,34,47,81,-13,4.31149608487062,4.94305252409761
71,RobbySkateboard,1,This is the third card I've ordered and I will buy a fourth when needed. The frustration free packaging is amazing! It's an envelope that has a pull-tab. Can't get any simpler than that! The card itself is a class 10+ and I have not had any issues with any of the ones I've bought. This one went to my brother to upgrade the storage on his phone.,04/14/2021,896,3,12,15,-9,0.7965374112596796,0.1108287794530588
72,rpgmaker,4,"I only ever use SanDisk and have never had a problem, This is for my Wife's new 1st smartphone, so needed a class 10 and Amazon always has the best price, either in the US or Amazon UK",08/01/2021,256,32,19,51,13,2.4193067514531013,0.8353682817599911
73,"kmrotterdam ""kmrotterdam""",3,"I got the &#34;Ultra&#34; becuase it said it lets your camera phone save pictures faster, it seems to do that. Also, it was a great price.",04/28/2021,307,12,48,60,-36,1.0921156433152979,4.870872543293484
74,Juan J. Flores,3,I put this in a Sprint Galaxy S3. Mounted it and used it. Still using it. More storage than I will ever need.,06/08/2021,950,35,49,84,-14,3.014738153453021,3.1412829690500215
75,GPerdomo,2,"This  micro SD is very fast, I use it in a Samsung Galaxy Note II and I don't have any problem regarding low speed.",10/22/2021,144,42,34,76,8,2.7928671085413304,2.2533356030336567
76,"Amazon Customer ""wolverine331""",5,"Not bad, I doesnt feel any quicker than a normal 32GB card.  And you only get 27GB of storage. 20",02/15/2021,658,18,22,40,-4,1.9000368212037593,0.3938046652318494
77,"Dustin Adams ""Vacuum Artist""",5,I got this for my new phone. It works as expected. I don't worry about the speed in these things. I loaded up all my music on it & my phone stores my pictures on it. So far I have not had any issues with this micro sd card.,09/14/2021,391,42,41,83,1,4.316517574225622,3.3483058081643833
78,mikhailcharon,5,Perfect in every sense.  I use it mainly for accessing my music and since I upgraded to this MicroSDHC I have found my Samsung Galaxy S3 has no lag in playback and document storage retrieval is quick,02/03/2021,813,11,32,43,-21,3.299066601440299,0.6890149384063393
79,Keith Shelley,4,"I have been pleased with the performance and price point for this card. No complaints, I would recommend it based on price & performance.",04/15/2021,676,10,37,47,-27,3.6060256248097184,3.355930610795908
80,"A. Taft ""Technophile""",5,Excellent storage and small!  Works well and does everything I need it to plus it came in at a good price.,09/07/2021,169,5,34,39,-29,0.7532986910383427,4.895882486000292
81,twilightstar,3,Crashed... Lost everything... Thanks SanDisk.  Used in gs4..not a solid product couple years worth of stuff gone in an instant.,04/11/2021,990,11,35,46,-24,4.415828389878088,2.6598632930847637
82,"J. Romero ""Jos L. Romero""",4,Excellent cards. I have this one in my ASUS Transformer  and a 16 GB one in my camera. Both work flaulessly.,09/27/2021,298,26,19,45,7,0.835200818100092,1.0704232725133038
83,"TOB9595 ""TOB9595""",1,THE SANDISK ULTRS 64 GB MICROSDXC CLASS 10 UHS-1 MEMORY CARD WORK GOOD IN MY ATIV SMART 500T SAMSUNG WITH ADAPTER,01/31/2021,233,40,2,42,38,1.113924821049801,3.126418754397991
84,Frankie A.,5,"It's a micro sd hc, stores files, and is great at it.I don't really know enough about these kinda things to go into details of how fast it is at transfering files.But it worked great for copying video files from my computer, placing the same thing into my LED tv (has a USB port) and watching the files from there. 8gb video files would play perfectly fine. Perhaps that's saying enough about it? Worth the money!",07/11/2021,903,24,7,31,17,0.6402756924844022,2.5646484389564144
85,cowboycctx,5,Bought 2 of these. One to be used on my Sony PSP 3000 with MicroSD To Memory Stick Pro Duo Adapter and the other on my Samsung Galaxy S4. Works great on both. Enough storage for what i need it for.,11/11/2021,271,41,39,80,2,2.2017960398440777,2.6657013180532303
86,Bo Bland,1,This rocks with my galaxy s3 android. I've got it loaded with movies and pictures for the slow times in my taxi.,05/26/2021,60,2,31,33,-29,4.4385461587615485,2.3905347305999842
87,chris stevenson,5,"the unit shows 0 bytes, in a PC or the phone. it keeps dismounting also. I got a replacement and it did the same thing. Not sure what is going on but it looks like a Chinese counterfeit case. I have seen this happen more and more lately. Amazon seems to be a major portal for these hings, it makes sense with a such a large retailer, they cant check everything.",06/04/2021,296,2,28,30,-26,1.262237598049298,3.368702871217779
88,Siu T. Tam,1,Bought it for my Galaxy Note 2. Add tons of storage to my phone. Now I can store video and songs.,05/17/2021,467,19,6,25,13,1.868767102114766,2.85972681203501
89,K. Rodriguez,4,"I bought this to replace the 32GB microSD I had in my phone that up and died on me.  This one is still kicking, so I guess that's a good thing.  It's been about 6 months and all is good.",03/16/2021,235,27,1,28,26,4.23033210037711,4.934975387271864
90,laura chang,3,"Sandisk* is simply one of the best SDHC & MicroSDHC memory card manufacturer's that I have used for a number of years.I have experienced Zero failures, and they are reusable over and over.Also their adapters are quite handy to carry when traveling or at the studio.*Would like to see SDHC cards in the 1 to 5 Terabtye in the near future.",03/09/2021,677,22,20,42,2,3.089076398794446,4.1293171052115945
91,ljesseph,1,"After a small preasure while trying to remove it from a device it got brokenAlso, the I/O speed is not amazing, even for a Class 10",02/13/2021,706,47,5,52,42,3.758081968231384,1.3234918885550329
92,Soldiering,2,"Works with my Sansa Fuze+ to give about a million songs (okay, that's a slight exaggeration), but enough songs that you can listen to songs without any repeats for about 4 days.  Speed was fine for my device, but I can't speak to the camera usage.  It's class 10, so it should be fast enough for video.",07/24/2021,234,2,27,29,-25,1.070000247180574,3.628782609524868
93,texascbx,1,It is all you can expected for a 32GB SD card. I never tested the read/write speed but it never had a problem for music and videos.,01/23/2021,368,41,47,88,-6,3.5824493166628772,1.0715017469236727
94,Sandra L. Hasaan,5,"I use this card in a Galaxy Note 10.1 and I have been very pleased with its performance.  It is noticeably faster than the class 4 card I replaced.  I use it for storing (and then watching) movies, and it plays them back with no observable buffering time.  It is also fast for writing photos or videos that I shoot using the camera on the tablet.  And the cost was among the lowest for cards of this storage size and speed class.",09/12/2021,695,23,41,64,-18,1.1380528932088625,3.911732040406956
95,JSutherland125,4,"Using it in my HTC inspire and so far no problems had to format it though, the card is fast and works really well. I'm considering buying one for my tablet.",07/08/2021,845,42,35,77,7,4.936569911053305,0.7377881998867108
96,Kindle Customer,4,"Just what I am expecting for this brand, I installed it in my tablet the moment it arrives and it works perfectly.",07/18/2021,232,39,31,70,8,2.7994307806336867,2.3677691677361907
97,"J. Seidel ""BrainFlush""",1,"Bought this to use with my Samsung HMX W300. Works well, good transfer speeds and comes with a normal size SD card to transfer if needed.",08/19/2021,873,5,44,49,-39,3.478196290215685,3.953030991530373
98,The Frog,3,"Insert it and use it, it is exactly that easy to use. And did I mention it is also very fast? I purchased this for my new Nook HD+ tablet and it gives me a lot of storage space for anything I wish to keep on the tablet, pictures, music, documents, eBooks, anything else I wish to create or copy to the tablet. I am very pleased with the performance and price of this purchase.",08/04/2021,491,19,41,60,-22,0.5920079207075141,1.4005635115328268
99,Kevin Lively,2,its 64 gigs it works great not sure what else to say about it really. Not much else to say.,08/12/2021,619,10,45,55,-35,1.2532799002078476,4.1855956256583156
100,"ENZYMES ""natureskid""",4,"great product at an affordable price!  there's just no messing with sandisk quality, and with 64 gigs you'll have plenty of room to store anything and everything you want!",06/26/2021,503,31,8,39,23,0.6987032978217717,3.2207535451698597
101,"Perry W. Chamberlain ""canoe man""",5,"Has anyone ever had a DOA? The only chips I have ever lost were after some use, but SanDisk is a good brand",01/21/2021,890,26,10,36,16,1.9508535763586154,1.9876116455360793
102,"Stephen Bagiatis Jr. ""Hodgieb""",5,"Works well in mySony PCM-M10 Portable Linear PCM Voice Recorder with Electret Condenser Stereo Microphones, 96 kHz/24-bit, 4GB Memory & USB High-Speed Port - Black",08/10/2021,735,20,22,42,-2,1.4206793210269923,2.1170835465313593
103,Patrick J Bell II,3,"I was out of space on my Droid RAZR 16GB and still had an empty microSD slot, so I figured I'd pick this up seeing as how it is a reputable brand in flash memory. I am glad I went with the Sandisk Ultra, because there is seemingly no difference in speed between this drive and the built-in internal memory of my phone. I record a lot of videos with my phone and I've been recording straight to this card in HD with no problems at all.Installation was a breeze. I took the memory card out of the package and inserted into my phone. Then my phone brought up a menu asking if I wanted to move my music, videos, and photos to the memory card. I selected all three categories, and in minutes it had moved all of my media onto the memory card. I didn't even have to do anything else. I had read some other reviews that said they had to reformat the card or mess around with moving files by hand, but I didn't have to do any of that.I haven't tried using the included SD adapter yet, but I imagine it will work as well as any other adapter. The adapter and memory card were both shipped in a little clear plastic case, which makes it easier to carry the adapter around with you. So you have it with you when you need it.The price on this card when I bought it was a few dollars more than the generic brands. I decided to spend a few extra dollars on it since I would be really upset if I lost all my photos and videos due to a corrupt memory card. I am very satisfied with the product and I would highly recommend it to anyone looking to increase the storage capacity of their phone or anything else this would fit in.",02/10/2021,592,43,49,92,-6,3.6646112981528463,4.629957669599277
104,Chuck H.,4,"Great MicroSDHC C10/UHS1 disk with Memory Card Adapter. great product and does with my tablet and Netbooks and Laptops.The speed of the data is good as well. I would say please get this item, and the price is good as well.",11/14/2021,746,47,10,57,37,0.5435448981407559,1.0889550000618964
105,M. West,1,"This card had rave reviews, so I decided to get it to use it with my new GoPro Hero3 camera.  I liked that it had a high capacity and it was class 10 which would allow me to maximize the features of my camera.  As soon as it arrived I popped it in to the camera for a quick test run and after it was successful I then packed it in my luggage for a snorkeling trip.  3 days into taking awesome footage with my camera this SD card started resulting in SD card errors which made my data unrecoverable.  Fortunately I still had some time in my trip to go get a different memory card with better reliability. These memory cards appear to be hit or miss, and in my case it was a miss.  I can not recommend this card for purchase.  It appears that this company has a problem with the Quality Control process, and you can see that reviews are either overwhelmingly positive or as is my case, 1 star/negative.  It looks as though they just accept a certain amount of faulty memory cards.  Unfortunately for me, I missed the window to return this card because I was travelling, and I am stuck with a useless micro SD card.  I've had better luck with Kingston, and Transcend brands. Lexar and Samsung have also served me well in the past.  I will no longer purchase any other SanDisk products and I wouldn't recommend that you would either, but if your are swayed by the reviews, make sure you thoroughly test what you purchase before you actually need it.",03/08/2021,381,49,48,97,1,3.760296842251841,3.466813075873551
106,william walker,5,"Why would you get anything less?  64GB of instantaneous movies, video, music or pictures.  If you have an Android phone that's capable of accepting micro SD cards go ahead and get you one or two.",02/02/2021,696,12,1,13,11,0.22852412319293747,3.5364710287076773
107,J. Parnell,3,What more can I say?I'm using it to double the memory of my Asus TF700 (from 32 to 64Gb) and this card has a good read/write performance and it's SanDisk!Recommended.,06/27/2021,428,21,2,23,19,1.0100891866119621,4.612248465918183
108,ian,4,SANDISK is a good brand for me and this just worked.  Cant really ask much more of it than that!,04/22/2021,697,34,10,44,24,3.9598249598230146,3.5658213437867032
